Region Model Years pr_avg pr_pc
midwest SRCNNvMSEL23R1 20 -0.106291 0.956912
northcentral SRCNNvMSEL23R1 20 -0.200959 0.964497
northeast SRCNNvMSEL23R1 20 -0.097383 0.793810
northwest SRCNNvMSEL23R1 20 -0.053535 0.984103
southcentral SRCNNvMSEL23R1 20 -0.201423 0.990541
southeast SRCNNvMSEL23R1 20 -0.221639 0.845138
southwest SRCNNvMSEL23R1 20 -0.080751 0.983630
CONUS SRCNNvMSEL23R1 15 -0.100268 0.985432
midwest SRCNNvMSEL23R1 15 -0.099140 0.955010
northcentral SRCNNvMSEL23R1 15 -0.114759 0.931592
northeast SRCNNvMSEL23R1 15 -0.085768 0.786771
northwest SRCNNvMSEL23R1 15 -0.010167 0.982297
southcentral SRCNNvMSEL23R1 15 -0.158675 0.989048
southeast SRCNNvMSEL23R1 15 -0.169182 0.852213
southwest SRCNNvMSEL23R1 15 -0.028096 0.980434
CONUS SRCNNvMSEL23R1 10 -0.201385 0.981995
midwest SRCNNvMSEL23R1 10 -0.134703 0.961892
northcentral SRCNNvMSEL23R1 10 -0.316102 0.943723
northeast SRCNNvMSEL23R1 10 -0.091765 0.768743
northwest SRCNNvMSEL23R1 10 -0.182994 0.974815
southcentral SRCNNvMSEL23R1 10 -0.243547 0.989039
southeast SRCNNvMSEL23R1 10 -0.178126 0.849328
southwest SRCNNvMSEL23R1 10 -0.155816 0.974352
CONUS SRCNNvMSEL23R1 5 0.036645 0.983243
midwest SRCNNvMSEL23R1 5 0.092427 0.937713
northcentral SRCNNvMSEL23R1 5 0.013091 0.932406
northeast SRCNNvMSEL23R1 5 0.087224 0.767055
northwest SRCNNvMSEL23R1 5 0.123785 0.980279
southcentral SRCNNvMSEL23R1 5 -0.048061 0.987314
southeast SRCNNvMSEL23R1 5 -0.027502 0.831183
southwest SRCNNvMSEL23R1 5 0.064215 0.976604
CONUS SRCNNvMSEL23R1 2 -0.111809 0.980766
midwest SRCNNvMSEL23R1 2 -0.068020 0.943464
northcentral SRCNNvMSEL23R1 2 -0.118043 0.931183
northeast SRCNNvMSEL23R1 2 -0.092566 0.746358
northwest SRCNNvMSEL23R1 2 -0.103695 0.968333
southcentral SRCNNvMSEL23R1 2 -0.155624 0.986259
southeast SRCNNvMSEL23R1 2 -0.200438 0.814807
southwest SRCNNvMSEL23R1 2 -0.051489 0.964587
