Region Model Years p95_avg p95_pc
CONUS SRCNNvMSEL23R1 20 -1.462134 0.982787
midwest SRCNNvMSEL23R1 20 -1.786420 0.956352
northcentral SRCNNvMSEL23R1 20 -1.351987 0.962031
northeast SRCNNvMSEL23R1 20 -2.300755 0.791357
northwest SRCNNvMSEL23R1 20 -1.053091 0.980197
southcentral SRCNNvMSEL23R1 20 -1.093192 0.984859
southeast SRCNNvMSEL23R1 20 -2.588982 0.854086
southwest SRCNNvMSEL23R1 20 -0.442601 0.982561
CONUS SRCNNvMSEL23R1 15 -1.271533 0.982701
midwest SRCNNvMSEL23R1 15 -1.576469 0.955770
northcentral SRCNNvMSEL23R1 15 -1.150735 0.954632
northeast SRCNNvMSEL23R1 15 -2.056649 0.788211
northwest SRCNNvMSEL23R1 15 -1.054506 0.979783
southcentral SRCNNvMSEL23R1 15 -0.935368 0.986656
southeast SRCNNvMSEL23R1 15 -2.193417 0.855526
southwest SRCNNvMSEL23R1 15 -0.339040 0.981922
CONUS SRCNNvMSEL23R1 10 -1.334499 0.978557
midwest SRCNNvMSEL23R1 10 -1.318230 0.956121
northcentral SRCNNvMSEL23R1 10 -1.454268 0.933170
northeast SRCNNvMSEL23R1 10 -1.751885 0.792263
northwest SRCNNvMSEL23R1 10 -1.237226 0.972876
southcentral SRCNNvMSEL23R1 10 -1.081007 0.982591
southeast SRCNNvMSEL23R1 10 -1.871156 0.851724
southwest SRCNNvMSEL23R1 10 -0.774422 0.973169
CONUS SRCNNvMSEL23R1 5 -1.112874 0.981121
midwest SRCNNvMSEL23R1 5 -1.352151 0.953206
northcentral SRCNNvMSEL23R1 5 -0.920054 0.946777
northeast SRCNNvMSEL23R1 5 -2.025796 0.786860
northwest SRCNNvMSEL23R1 5 -0.983208 0.975574
southcentral SRCNNvMSEL23R1 5 -0.752556 0.983792
southeast SRCNNvMSEL23R1 5 -2.274683 0.854893
southwest SRCNNvMSEL23R1 5 -0.054844 0.976076
CONUS SRCNNvMSEL23R1 2 -1.514463 0.978224
midwest SRCNNvMSEL23R1 2 -1.634368 0.951984
northcentral SRCNNvMSEL23R1 2 -1.377826 0.936349
northeast SRCNNvMSEL23R1 2 -2.375034 0.787670
northwest SRCNNvMSEL23R1 2 -1.684741 0.964202
southcentral SRCNNvMSEL23R1 2 -1.097982 0.984095
southeast SRCNNvMSEL23R1 2 -2.428007 0.843289
southwest SRCNNvMSEL23R1 2 -0.611564 0.970622
CONUS SRCNNvEXPL26R1 30 -0.582322 0.984542
midwest SRCNNvEXPL26R1 30 -0.845889 0.953597
northcentral SRCNNvEXPL26R1 30 -0.333096 0.954015
northeast SRCNNvEXPL26R1 30 -1.439958 0.773391
northwest SRCNNvEXPL26R1 30 -0.422750 0.977980
southcentral SRCNNvEXPL26R1 30 -0.186920 0.984030
southeast SRCNNvEXPL26R1 30 -1.510021 0.844991
southwest SRCNNvEXPL26R1 30 0.132246 0.982892
CONUS SRCNNvEXPL26R1 20 -0.954716 0.984140
midwest SRCNNvEXPL26R1 20 -1.151383 0.955441
northcentral SRCNNvEXPL26R1 20 -0.876862 0.952778
northeast SRCNNvEXPL26R1 20 -1.676648 0.789218
northwest SRCNNvEXPL26R1 20 -0.755327 0.976658
southcentral SRCNNvEXPL26R1 20 -0.692989 0.985616
southeast SRCNNvEXPL26R1 20 -1.695560 0.853382
southwest SRCNNvEXPL26R1 20 -0.174054 0.978020
CONUS SRCNNvEXPL26R1 15 -1.246246 0.981911
midwest SRCNNvEXPL26R1 15 -1.442615 0.953297
northcentral SRCNNvEXPL26R1 15 -1.090527 0.940143
northeast SRCNNvEXPL26R1 15 -1.992403 0.763643
northwest SRCNNvEXPL26R1 15 -1.210136 0.971126
southcentral SRCNNvEXPL26R1 15 -0.840623 0.984372
southeast SRCNNvEXPL26R1 15 -2.250360 0.838192
southwest SRCNNvEXPL26R1 15 -0.407554 0.979449
CONUS SRCNNvEXPL26R1 10 -1.120059 0.981466
midwest SRCNNvEXPL26R1 10 -0.980336 0.952654
northcentral SRCNNvEXPL26R1 10 -1.366035 0.934557
northeast SRCNNvEXPL26R1 10 -1.457178 0.753645
northwest SRCNNvEXPL26R1 10 -1.363203 0.969634
southcentral SRCNNvEXPL26R1 10 -0.819828 0.981188
southeast SRCNNvEXPL26R1 10 -1.198932 0.830173
southwest SRCNNvEXPL26R1 10 -0.765701 0.973089
CONUS SRCNNvEXPL26R1 5 -0.999451 0.982022
midwest SRCNNvEXPL26R1 5 -1.045236 0.953785
northcentral SRCNNvEXPL26R1 5 -1.125663 0.938280
northeast SRCNNvEXPL26R1 5 -1.516243 0.792280
northwest SRCNNvEXPL26R1 5 -1.196400 0.968639
southcentral SRCNNvEXPL26R1 5 -0.708609 0.984648
southeast SRCNNvEXPL26R1 5 -1.257950 0.844480
southwest SRCNNvEXPL26R1 5 -0.384632 0.972579
CONUS SRCNNvEXPL26R1 2 -0.738338 0.976400
midwest SRCNNvEXPL26R1 2 -0.542095 0.952753
northcentral SRCNNvEXPL26R1 2 -0.895725 0.926031
northeast SRCNNvEXPL26R1 2 -1.250501 0.797549
northwest SRCNNvEXPL26R1 2 -1.021545 0.955555
southcentral SRCNNvEXPL26R1 2 -0.432691 0.983080
southeast SRCNNvEXPL26R1 2 -1.038404 0.844429
southwest SRCNNvEXPL26R1 2 -0.268178 0.968482
CONUS SRCNNvQT29avgL4R1 30 0.053854 0.982717
midwest SRCNNvQT29avgL4R1 30 -0.041347 0.949233
northcentral SRCNNvQT29avgL4R1 30 -0.228173 0.940397
northeast SRCNNvQT29avgL4R1 30 -0.532592 0.715266
northwest SRCNNvQT29avgL4R1 30 -0.074524 0.982155
southcentral SRCNNvQT29avgL4R1 30 0.618459 0.980487
southeast SRCNNvQT29avgL4R1 30 0.287704 0.800964
southwest SRCNNvQT29avgL4R1 30 0.291119 0.982809
CONUS SRCNNvQT29avgL4R1 20 0.395866 0.985390
midwest SRCNNvQT29avgL4R1 20 0.213620 0.950717
northcentral SRCNNvQT29avgL4R1 20 0.224550 0.955422
northeast SRCNNvQT29avgL4R1 20 -0.175020 0.779706
northwest SRCNNvQT29avgL4R1 20 0.363941 0.987198
southcentral SRCNNvQT29avgL4R1 20 0.880888 0.983009
southeast SRCNNvQT29avgL4R1 20 0.509690 0.827754
southwest SRCNNvQT29avgL4R1 20 0.667240 0.984786
CONUS SRCNNvQT29avgL4R1 15 0.168085 0.983562
midwest SRCNNvQT29avgL4R1 15 0.311360 0.954887
northcentral SRCNNvQT29avgL4R1 15 -0.233618 0.936982
northeast SRCNNvQT29avgL4R1 15 -0.053389 0.724060
northwest SRCNNvQT29avgL4R1 15 -0.119576 0.985051
southcentral SRCNNvQT29avgL4R1 15 0.599004 0.980610
southeast SRCNNvQT29avgL4R1 15 0.515400 0.808276
southwest SRCNNvQT29avgL4R1 15 0.230295 0.979153
CONUS SRCNNvQT29avgL4R1 10 0.013089 0.982877
midwest SRCNNvQT29avgL4R1 10 0.020710 0.954785
northcentral SRCNNvQT29avgL4R1 10 -0.220109 0.932108
northeast SRCNNvQT29avgL4R1 10 -0.496261 0.766590
northwest SRCNNvQT29avgL4R1 10 -0.207482 0.977143
southcentral SRCNNvQT29avgL4R1 10 0.538258 0.980250
southeast SRCNNvQT29avgL4R1 10 -0.001612 0.832107
southwest SRCNNvQT29avgL4R1 10 0.309512 0.978345
CONUS SRCNNvQT29avgL4R1 5 0.561267 0.980642
midwest SRCNNvQT29avgL4R1 5 0.723834 0.953177
northcentral SRCNNvQT29avgL4R1 5 0.081496 0.939956
northeast SRCNNvQT29avgL4R1 5 0.386551 0.770981
northwest SRCNNvQT29avgL4R1 5 0.417875 0.970978
southcentral SRCNNvQT29avgL4R1 5 0.862240 0.980709
southeast SRCNNvQT29avgL4R1 5 1.114933 0.822455
southwest SRCNNvQT29avgL4R1 5 0.569896 0.979375
CONUS SRCNNvQT29avgL4R1 2 0.007200 0.976747
midwest SRCNNvQT29avgL4R1 2 0.437187 0.951802
northcentral SRCNNvQT29avgL4R1 2 -0.421402 0.913890
northeast SRCNNvQT29avgL4R1 2 -0.121580 0.775952
northwest SRCNNvQT29avgL4R1 2 -0.341046 0.956259
southcentral SRCNNvQT29avgL4R1 2 0.289814 0.978433
southeast SRCNNvQT29avgL4R1 2 0.290511 0.843287
southwest SRCNNvQT29avgL4R1 2 -0.019610 0.967298
CONUS SRCNNvQT7L4R1 30 0.220721 0.984694
midwest SRCNNvQT7L4R1 30 0.310329 0.958342
northcentral SRCNNvQT7L4R1 30 -0.088700 0.964151
northeast SRCNNvQT7L4R1 30 0.475886 0.828865
northwest SRCNNvQT7L4R1 30 0.560872 0.984001
southcentral SRCNNvQT7L4R1 30 0.044708 0.987821
southeast SRCNNvQT7L4R1 30 0.121120 0.856310
southwest SRCNNvQT7L4R1 30 0.483517 0.985606
CONUS SRCNNvQT7L4R1 20 0.330743 0.982716
midwest SRCNNvQT7L4R1 20 0.457922 0.958694
northcentral SRCNNvQT7L4R1 20 -0.068094 0.964059
northeast SRCNNvQT7L4R1 20 0.743081 0.786562
northwest SRCNNvQT7L4R1 20 0.683819 0.986788
southcentral SRCNNvQT7L4R1 20 0.077258 0.988112
southeast SRCNNvQT7L4R1 20 0.404531 0.853529
southwest SRCNNvQT7L4R1 20 0.518569 0.986036
CONUS SRCNNvQT7L4R1 15 0.299017 0.982826
midwest SRCNNvQT7L4R1 15 0.491016 0.957215
northcentral SRCNNvQT7L4R1 15 -0.010962 0.961642
northeast SRCNNvQT7L4R1 15 0.489151 0.772912
northwest SRCNNvQT7L4R1 15 0.653634 0.982410
southcentral SRCNNvQT7L4R1 15 0.130042 0.987765
southeast SRCNNvQT7L4R1 15 0.168102 0.845228
southwest SRCNNvQT7L4R1 15 0.503917 0.985481
CONUS SRCNNvQT7L4R1 10 -0.291296 0.984731
midwest SRCNNvQT7L4R1 10 -0.046302 0.957908
northcentral SRCNNvQT7L4R1 10 -0.553508 0.959313
northeast SRCNNvQT7L4R1 10 -0.122206 0.776653
northwest SRCNNvQT7L4R1 10 -0.287867 0.982835
southcentral SRCNNvQT7L4R1 10 -0.319451 0.986012
southeast SRCNNvQT7L4R1 10 -0.402129 0.846884
southwest SRCNNvQT7L4R1 10 -0.151876 0.984193
CONUS SRCNNvQT7L4R1 5 0.660603 0.985096
midwest SRCNNvQT7L4R1 5 0.808069 0.959385
northcentral SRCNNvQT7L4R1 5 0.367822 0.958634
northeast SRCNNvQT7L4R1 5 0.815605 0.814896
northwest SRCNNvQT7L4R1 5 0.913902 0.981682
southcentral SRCNNvQT7L4R1 5 0.544555 0.987046
southeast SRCNNvQT7L4R1 5 0.849740 0.861117
southwest SRCNNvQT7L4R1 5 0.658819 0.984917
CONUS SRCNNvQT7L4R1 2 0.559145 0.980292
midwest SRCNNvQT7L4R1 2 1.071978 0.957323
northcentral SRCNNvQT7L4R1 2 0.027862 0.940889
northeast SRCNNvQT7L4R1 2 1.103004 0.823355
northwest SRCNNvQT7L4R1 2 0.578842 0.973822
southcentral SRCNNvQT7L4R1 2 0.235715 0.984598
southeast SRCNNvQT7L4R1 2 1.034036 0.854710
southwest SRCNNvQT7L4R1 2 0.396368 0.971002
