Region Model Years 25mmdays_avg 25mmdays_pc
CONUS SRCNNvMSEL23R1 20 -2.430446 0.958042
midwest SRCNNvMSEL23R1 20 -3.892187 0.909578
northcentral SRCNNvMSEL23R1 20 -1.613023 0.895840
northeast SRCNNvMSEL23R1 20 -4.203892 0.811613
northwest SRCNNvMSEL23R1 20 -1.148610 0.970175
southcentral SRCNNvMSEL23R1 20 -2.218457 0.973744
southeast SRCNNvMSEL23R1 20 -4.114165 0.873505
southwest SRCNNvMSEL23R1 20 -0.577778 0.981675
CONUS SRCNNvMSEL23R1 15 -2.216552 0.959857
midwest SRCNNvMSEL23R1 15 -3.514502 0.913391
northcentral SRCNNvMSEL23R1 15 -1.577662 0.899798
northeast SRCNNvMSEL23R1 15 -3.785556 0.814335
northwest SRCNNvMSEL23R1 15 -1.227885 0.966916
southcentral SRCNNvMSEL23R1 15 -2.008975 0.974178
southeast SRCNNvMSEL23R1 15 -3.509991 0.862002
southwest SRCNNvMSEL23R1 15 -0.529092 0.979909
CONUS SRCNNvMSEL23R1 10 -2.103331 0.958333
midwest SRCNNvMSEL23R1 10 -3.358873 0.914760
northcentral SRCNNvMSEL23R1 10 -1.494925 0.901886
northeast SRCNNvMSEL23R1 10 -3.504846 0.824833
northwest SRCNNvMSEL23R1 10 -1.096651 0.964208
southcentral SRCNNvMSEL23R1 10 -1.929423 0.975072
southeast SRCNNvMSEL23R1 10 -3.351251 0.867553
southwest SRCNNvMSEL23R1 10 -0.539137 0.971932
CONUS SRCNNvMSEL23R1 5 -2.369633 0.959380
midwest SRCNNvMSEL23R1 5 -3.762697 0.905429
northcentral SRCNNvMSEL23R1 5 -1.532758 0.890983
northeast SRCNNvMSEL23R1 5 -4.098836 0.803125
northwest SRCNNvMSEL23R1 5 -1.439048 0.961376
southcentral SRCNNvMSEL23R1 5 -2.092978 0.973539
southeast SRCNNvMSEL23R1 5 -3.996435 0.864337
southwest SRCNNvMSEL23R1 5 -0.547784 0.973446
CONUS SRCNNvMSEL23R1 2 -2.469372 0.959214
midwest SRCNNvMSEL23R1 2 -3.715793 0.911689
northcentral SRCNNvMSEL23R1 2 -1.632168 0.896465
northeast SRCNNvMSEL23R1 2 -4.271990 0.816631
northwest SRCNNvMSEL23R1 2 -1.708972 0.960602
southcentral SRCNNvMSEL23R1 2 -2.158709 0.976762
southeast SRCNNvMSEL23R1 2 -4.070810 0.863789
southwest SRCNNvMSEL23R1 2 -0.712343 0.969636
CONUS SRCNNvEXPL26R1 30 -2.052787 0.969533
midwest SRCNNvEXPL26R1 30 -3.182739 0.914206
northcentral SRCNNvEXPL26R1 30 -1.461824 0.907618
northeast SRCNNvEXPL26R1 30 -3.359378 0.807451
northwest SRCNNvEXPL26R1 30 -1.356655 0.963606
southcentral SRCNNvEXPL26R1 30 -1.839597 0.977167
southeast SRCNNvEXPL26R1 30 -3.150954 0.863361
southwest SRCNNvEXPL26R1 30 -0.636775 0.980830
CONUS SRCNNvEXPL26R1 20 -1.894569 0.968179
midwest SRCNNvEXPL26R1 20 -3.008950 0.918528
northcentral SRCNNvEXPL26R1 20 -1.384301 0.915388
northeast SRCNNvEXPL26R1 20 -3.202538 0.829520
northwest SRCNNvEXPL26R1 20 -1.082708 0.965299
southcentral SRCNNvEXPL26R1 20 -1.712869 0.979523
southeast SRCNNvEXPL26R1 20 -2.954769 0.872655
southwest SRCNNvEXPL26R1 20 -0.437537 0.977763
CONUS SRCNNvEXPL26R1 15 -2.345425 0.964543
midwest SRCNNvEXPL26R1 15 -3.584101 0.908152
northcentral SRCNNvEXPL26R1 15 -1.627724 0.899844
northeast SRCNNvEXPL26R1 15 -3.833429 0.790739
northwest SRCNNvEXPL26R1 15 -1.562321 0.958746
southcentral SRCNNvEXPL26R1 15 -2.127408 0.973442
southeast SRCNNvEXPL26R1 15 -3.758740 0.854018
southwest SRCNNvEXPL26R1 15 -0.690514 0.980982
CONUS SRCNNvEXPL26R1 10 -1.850501 0.971708
